time,equity,position,signal
2024-01-01 22:00:00+00:00,100000.0,0.0,0
2024-01-01 23:00:00+00:00,100000.0,0.0,0
2024-01-02 00:00:00+00:00,100000.0,0.0,0
2024-01-02 01:00:00+00:00,100000.0,0.0,0
2024-01-02 02:00:00+00:00,100000.0,0.0,0
2024-01-02 03:00:00+00:00,100000.0,0.0,0
2024-01-02 04:00:00+00:00,100000.0,0.0,0
2024-01-02 05:00:00+00:00,100000.0,0.0,0
2024-01-02 06:00:00+00:00,100000.0,0.0,0
2024-01-02 07:00:00+00:00,100000.0,0.0,0
2024-01-02 08:00:00+00:00,100000.0,0.0,0
2024-01-02 09:00:00+00:00,100000.0,0.0,0
2024-01-02 10:00:00+00:00,100000.0,0.0,0
2024-01-02 11:00:00+00:00,100000.0,0.0,0
2024-01-02 12:00:00+00:00,100000.0,0.0,0
2024-01-02 13:00:00+00:00,100000.0,0.0,0
2024-01-02 14:00:00+00:00,100000.0,0.0,0
2024-01-02 15:00:00+00:00,100000.0,0.0,0
2024-01-02 16:00:00+00:00,100000.0,0.0,0
2024-01-02 17:00:00+00:00,100000.0,0.0,0
2024-01-02 18:00:00+00:00,100000.0,0.0,0
2024-01-02 19:00:00+00:00,100000.0,0.0,0
2024-01-02 20:00:00+00:00,100000.0,0.0,0
2024-01-02 21:00:00+00:00,100000.0,0.0,0
2024-01-02 22:00:00+00:00,100000.0,0.0,0
2024-01-02 23:00:00+00:00,100000.0,0.0,0
2024-01-03 00:00:00+00:00,100000.0,0.0,0
2024-01-03 01:00:00+00:00,100000.0,0.0,0
2024-01-03 02:00:00+00:00,100000.0,0.0,0
2024-01-03 03:00:00+00:00,100000.0,0.0,0
2024-01-03 04:00:00+00:00,100000.0,0.0,0
2024-01-03 05:00:00+00:00,100000.0,0.0,0
2024-01-03 06:00:00+00:00,100000.0,0.0,0
2024-01-03 07:00:00+00:00,100000.0,0.0,0
2024-01-03 08:00:00+00:00,100000.0,0.0,0
2024-01-03 09:00:00+00:00,100000.0,0.0,0
2024-01-03 10:00:00+00:00,100000.0,0.0,0
2024-01-03 11:00:00+00:00,100000.0,0.0,0
2024-01-03 12:00:00+00:00,100000.0,0.0,0
2024-01-03 13:00:00+00:00,100000.0,0.0,0
2024-01-03 14:00:00+00:00,100000.0,0.0,0
2024-01-03 15:00:00+00:00,100000.0,0.0,0
2024-01-03 16:00:00+00:00,100000.0,0.0,0
2024-01-03 17:00:00+00:00,100000.0,0.0,0
2024-01-03 18:00:00+00:00,100000.0,0.0,0
2024-01-03 19:00:00+00:00,100000.0,0.0,0
2024-01-03 20:00:00+00:00,100000.0,0.0,0
2024-01-03 21:00:00+00:00,100000.0,0.0,0
2024-01-03 22:00:00+00:00,100000.0,0.0,0
2024-01-03 23:00:00+00:00,100000.0,0.0,-1
2024-01-04 00:00:00+00:00,100022.55009771006,-1.0,-1
2024-01-04 01:00:00+00:00,100065.58984881868,-1.0,-1
2024-01-04 02:00:00+00:00,100051.38366775223,-1.0,-1
2024-01-04 03:00:00+00:00,99989.07747019277,-1.0,-1
2024-01-04 04:00:00+00:00,99991.3652880047,-1.0,-1
2024-01-04 05:00:00+00:00,99984.9591049824,-1.0,-1
2024-01-04 06:00:00+00:00,99931.88610372777,-1.0,-1
2024-01-04 07:00:00+00:00,99884.35390087026,-1.0,-1
2024-01-04 08:00:00+00:00,99740.97966714254,-1.0,-1
2024-01-04 09:00:00+00:00,99611.22005275279,-1.0,-1
2024-01-04 10:00:00+00:00,99720.66147380794,-1.0,-1
2024-01-04 11:00:00+00:00,99789.8386094464,-1.0,-1
2024-01-04 12:00:00+00:00,99749.73308424716,-1.0,-1
2024-01-04 13:00:00+00:00,99797.54781879779,-1.0,-1
2024-01-04 14:00:00+00:00,99813.50135087532,-1.0,-1
2024-01-04 15:00:00+00:00,99724.5889641036,-1.0,-1
2024-01-04 16:00:00+00:00,99716.39627572712,-1.0,1
2024-01-04 17:00:00+00:00,99657.49520699443,1.0,1
2024-01-04 18:00:00+00:00,99625.6426675465,1.0,1
2024-01-04 19:00:00+00:00,99626.09770382434,1.0,1
2024-01-04 20:00:00+00:00,99645.66426377094,1.0,1
2024-01-04 21:00:00+00:00,99601.9807810995,1.0,1
2024-01-04 22:00:00+00:00,99628.8279214913,1.0,1
2024-01-04 23:00:00+00:00,99619.72719593477,1.0,1
2024-01-05 00:00:00+00:00,99661.13549721705,1.0,1
2024-01-05 01:00:00+00:00,99667.96104138446,1.0,1
2024-01-05 02:00:00+00:00,99625.6426675465,1.0,1
2024-01-05 03:00:00+00:00,99555.11204448323,1.0,1
2024-01-05 04:00:00+00:00,99536.91059337014,1.0,1
2024-01-05 05:00:00+00:00,99539.64081103713,1.0,1
2024-01-05 06:00:00+00:00,99450.90873686077,1.0,1
2024-01-05 07:00:00+00:00,99409.95547185629,1.0,1
2024-01-05 08:00:00+00:00,99268.43918945198,1.0,1
2024-01-05 09:00:00+00:00,99314.85288979036,1.0,1
2024-01-05 10:00:00+00:00,99314.85288979036,1.0,1
2024-01-05 11:00:00+00:00,99327.59390556955,1.0,1
2024-01-05 12:00:00+00:00,99358.99140873963,1.0,1
2024-01-05 13:00:00+00:00,99390.38891190973,1.0,1
2024-01-05 14:00:00+00:00,99647.93944516007,1.0,1
2024-01-05 15:00:00+00:00,99910.0403411887,1.0,1
2024-01-05 16:00:00+00:00,99708.00423383329,1.0,1
2024-01-05 17:00:00+00:00,99619.72719593479,1.0,1
2024-01-05 18:00:00+00:00,99690.25781899804,1.0,1
2024-01-05 19:00:00+00:00,99610.62647037822,1.0,-1
2024-01-05 20:00:00+00:00,99656.6523547028,-1.0,-1
2024-01-05 21:00:00+00:00,99630.68906993626,-1.0,-1
2024-01-07 22:00:00+00:00,99610.20241730631,-1.0,-1
2024-01-07 23:00:00+00:00,99636.14150761139,-1.0,-1
2024-01-08 00:00:00+00:00,99572.39827165382,-1.0,-1
2024-01-08 01:00:00+00:00,99577.40026451586,-1.0,-1
2024-01-08 02:00:00+00:00,99675.17631165152,-1.0,-1
2024-01-08 03:00:00+00:00,99713.90794553963,-1.0,-1
2024-01-08 04:00:00+00:00,99703.87549359434,-1.0,-1
2024-01-08 05:00:00+00:00,99672.87233590231,-1.0,-1
2024-01-08 06:00:00+00:00,99595.41262921708,-1.0,-1
2024-01-08 07:00:00+00:00,99602.2366944709,-1.0,1
2024-01-08 08:00:00+00:00,99489.18940187964,1.0,1
2024-01-08 09:00:00+00:00,99518.76177259591,1.0,1
2024-01-08 10:00:00+00:00,99568.35236348935,1.0,1
2024-01-08 11:00:00+00:00,99527.40600403606,1.0,1
2024-01-08 12:00:00+00:00,99587.00570501808,1.0,1
2024-01-08 13:00:00+00:00,99643.87564870321,1.0,1
2024-01-08 14:00:00+00:00,99730.77292265411,1.0,1
2024-01-08 15:00:00+00:00,99815.85035840707,1.0,1
2024-01-08 16:00:00+00:00,99868.1707065974,1.0,1
2024-01-08 17:00:00+00:00,99770.35440345897,1.0,1
2024-01-08 18:00:00+00:00,99685.73192725547,1.0,1
2024-01-08 19:00:00+00:00,99736.68739679737,1.0,1
2024-01-08 20:00:00+00:00,99679.81745311223,1.0,1
2024-01-08 21:00:00+00:00,99637.50621501048,1.0,1
2024-01-08 22:00:00+00:00,99645.24052735165,1.0,1
2024-01-08 23:00:00+00:00,99634.7764577136,1.0,1
2024-01-09 00:00:00+00:00,99684.36704860703,1.0,1
2024-01-09 01:00:00+00:00,99741.69195184165,1.0,1
2024-01-09 02:00:00+00:00,99752.61098102918,1.0,1
2024-01-09 03:00:00+00:00,99752.61098102918,1.0,1
2024-01-09 04:00:00+00:00,99692.5563204977,1.0,1
2024-01-09 05:00:00+00:00,99633.86653861462,1.0,1
2024-01-09 06:00:00+00:00,99638.87109365889,1.0,1
2024-01-09 07:00:00+00:00,99697.56087554195,1.0,1
2024-01-09 08:00:00+00:00,99634.32149816408,1.0,1
2024-01-09 09:00:00+00:00,99583.36602862219,1.0,1
2024-01-09 10:00:00+00:00,99504.20306701248,1.0,1
2024-01-09 11:00:00+00:00,99467.80630305399,1.0,1
2024-01-09 12:00:00+00:00,99550.60894105957,1.0,1
2024-01-09 13:00:00+00:00,99600.19953195301,1.0,1
2024-01-09 14:00:00+00:00,99595.64993645821,1.0,1
2024-01-09 15:00:00+00:00,99344.05730559514,1.0,-1
2024-01-09 16:00:00+00:00,99185.21310684607,-1.0,-1
2024-01-09 17:00:00+00:00,99188.38793350208,-1.0,-1
2024-01-09 18:00:00+00:00,99277.74234665594,-1.0,-1
2024-01-09 19:00:00+00:00,99267.74568634387,-1.0,-1
2024-01-09 20:00:00+00:00,99243.21337021954,-1.0,-1
2024-01-09 21:00:00+00:00,99211.88201167934,-1.0,-1
2024-01-09 22:00:00+00:00,99232.30260862908,-1.0,-1
2024-01-09 23:00:00+00:00,99207.78780269239,-1.0,-1
2024-01-10 00:00:00+00:00,99217.31662908057,-1.0,-1
2024-01-10 01:00:00+00:00,99203.70140474361,-1.0,-1
2024-01-10 02:00:00+00:00,99190.08991662742,-1.0,-1
2024-01-10 03:00:00+00:00,99230.91317692681,-1.0,-1
2024-01-10 04:00:00+00:00,99205.49112008947,-1.0,-1
2024-01-10 05:00:00+00:00,99202.31499079264,-1.0,-1
2024-01-10 06:00:00+00:00,99273.09276869599,-1.0,-1
2024-01-10 07:00:00+00:00,99259.46222148159,-1.0,-1
2024-01-10 08:00:00+00:00,99102.29974079924,-1.0,-1
2024-01-10 09:00:00+00:00,99068.34043856246,-1.0,-1
2024-01-10 10:00:00+00:00,99049.78873855568,-1.0,-1
2024-01-10 11:00:00+00:00,99079.64126820024,-1.0,-1
2024-01-10 12:00:00+00:00,99098.19720320849,-1.0,-1
2024-01-10 13:00:00+00:00,99128.53167665092,-1.0,-1
2024-01-10 14:00:00+00:00,99133.51501325241,-1.0,-1
2024-01-10 15:00:00+00:00,98885.68235840967,-1.0,-1
2024-01-10 16:00:00+00:00,98960.96870227355,-1.0,-1
2024-01-10 17:00:00+00:00,98886.47063977785,-1.0,-1
2024-01-10 18:00:00+00:00,98866.1835537184,-1.0,-1
2024-01-10 19:00:00+00:00,98858.52268740932,-1.0,1
2024-01-10 20:00:00+00:00,98806.34438896255,1.0,1
2024-01-10 21:00:00+00:00,98871.22081372928,1.0,1
2024-01-10 22:00:00+00:00,98871.22081372928,1.0,1
2024-01-10 23:00:00+00:00,98883.8356741006,1.0,1
2024-01-11 00:00:00+00:00,98917.62547866658,1.0,1
2024-01-11 01:00:00+00:00,98926.63609321749,1.0,1
2024-01-11 02:00:00+00:00,98920.77919375942,1.0,1
2024-01-11 03:00:00+00:00,98940.15201504389,1.0,1
2024-01-11 04:00:00+00:00,98917.174947939,1.0,1
2024-01-11 05:00:00+00:00,98922.58131666956,1.0,1
2024-01-11 06:00:00+00:00,98989.25986434643,1.0,1
2024-01-11 07:00:00+00:00,98926.63609321747,1.0,1
2024-01-11 08:00:00+00:00,98893.29681937904,1.0,1
2024-01-11 09:00:00+00:00,98791.02634422597,1.0,1
2024-01-11 10:00:00+00:00,98837.88153989079,1.0,1
2024-01-11 11:00:00+00:00,98924.38343957973,1.0,1
2024-01-11 12:00:00+00:00,98970.78810451702,1.0,1
2024-01-11 13:00:00+00:00,98571.61787991077,1.0,1
2024-01-11 14:00:00+00:00,98704.52444453702,1.0,1
2024-01-11 15:00:00+00:00,98634.24165103976,1.0,1
2024-01-11 16:00:00+00:00,98598.19919283602,1.0,1
2024-01-11 17:00:00+00:00,98674.33888579141,1.0,1
2024-01-11 18:00:00+00:00,98800.0369587769,1.0,1
2024-01-11 19:00:00+00:00,98955.01952905294,1.0,1
2024-01-11 20:00:00+00:00,98859.50701481308,1.0,1
2024-01-11 21:00:00+00:00,98865.81444499873,1.0,1
2024-01-11 22:00:00+00:00,98872.12187518438,1.0,1
2024-01-11 23:00:00+00:00,98959.5248363284,1.0,1
2024-01-12 00:00:00+00:00,98898.25265738207,1.0,1
2024-01-12 01:00:00+00:00,98961.77748996613,1.0,1
2024-01-12 02:00:00+00:00,98933.84458485826,1.0,1
2024-01-12 03:00:00+00:00,98916.27388648393,1.0,1
2024-01-12 04:00:00+00:00,98897.80212665454,1.0,1
2024-01-12 05:00:00+00:00,98897.35159592697,1.0,1
2024-01-12 06:00:00+00:00,98894.19788083417,1.0,1
2024-01-12 07:00:00+00:00,98818.05818787879,1.0,1
2024-01-12 08:00:00+00:00,98892.395757924,1.0,1
2024-01-12 09:00:00+00:00,98779.76307603733,1.0,1
2024-01-12 10:00:00+00:00,98756.78600893247,1.0,1
2024-01-12 11:00:00+00:00,98663.5261483303,1.0,1
2024-01-12 12:00:00+00:00,98556.29983517424,1.0,1
2024-01-12 13:00:00+00:00,98714.43612054306,1.0,1
2024-01-12 14:00:00+00:00,98898.25265738205,1.0,1
2024-01-12 15:00:00+00:00,98813.10234987579,1.0,1
2024-01-12 16:00:00+00:00,98742.36902565097,1.0,-1
2024-01-12 17:00:00+00:00,98813.2026979751,-1.0,-1
2024-01-12 18:00:00+00:00,98723.86187824936,-1.0,-1
2024-01-12 19:00:00+00:00,98755.84035452509,-1.0,-1
2024-01-12 20:00:00+00:00,98797.7547993634,-1.0,-1
2024-01-12 21:00:00+00:00,98803.16770762399,-1.0,-1
2024-01-14 22:00:00+00:00,98807.67895880346,-1.0,-1
2024-01-14 23:00:00+00:00,98852.79559036842,-1.0,-1
2024-01-15 00:00:00+00:00,98778.28513481733,-1.0,-1
2024-01-15 01:00:00+00:00,98766.11088138855,-1.0,-1
2024-01-15 02:00:00+00:00,98675.05187830752,-1.0,-1
2024-01-15 03:00:00+00:00,98680.45135857209,-1.0,-1
2024-01-15 04:00:00+00:00,98693.05152473807,-1.0,-1
2024-01-15 05:00:00+00:00,98682.69874476065,-1.0,-1
2024-01-15 06:00:00+00:00,98683.59879764912,-1.0,-1
2024-01-15 07:00:00+00:00,98778.1060748632,-1.0,-1
2024-01-15 08:00:00+00:00,98736.62350874789,-1.0,-1
2024-01-15 09:00:00+00:00,98838.89129940725,-1.0,-1
2024-01-15 10:00:00+00:00,98898.93456586912,-1.0,-1
2024-01-15 11:00:00+00:00,98850.57035531093,-1.0,-1
2024-01-15 12:00:00+00:00,98774.25669808329,-1.0,-1
2024-01-15 13:00:00+00:00,98803.56282049346,-1.0,-1
2024-01-15 14:00:00+00:00,98868.97682152978,-1.0,-1
2024-01-15 15:00:00+00:00,98811.60726519291,-1.0,-1
2024-01-15 16:00:00+00:00,98833.71630309787,-1.0,-1
2024-01-15 17:00:00+00:00,98825.59098044547,-1.0,-1
2024-01-15 18:00:00+00:00,98783.61704883489,-1.0,-1
2024-01-15 19:00:00+00:00,98804.3607200449,-1.0,-1
2024-01-15 20:00:00+00:00,98792.63111112695,-1.0,-1
2024-01-15 21:00:00+00:00,98801.65174518524,-1.0,-1
2024-01-15 22:00:00+00:00,98809.77179856657,-1.0,-1
2024-01-15 23:00:00+00:00,98853.53705714976,-1.0,-1
2024-01-16 00:00:00+00:00,99082.49222104947,-1.0,-1
2024-01-16 01:00:00+00:00,99010.81002241431,-1.0,-1
2024-01-16 02:00:00+00:00,99043.88112705089,-1.0,-1
2024-01-16 03:00:00+00:00,99088.76095235103,-1.0,-1
2024-01-16 04:00:00+00:00,99101.91948751488,-1.0,-1
2024-01-16 05:00:00+00:00,99121.43560157825,-1.0,-1
2024-01-16 06:00:00+00:00,99103.27392512854,-1.0,-1
2024-01-16 07:00:00+00:00,99093.28866288159,-1.0,-1
2024-01-16 08:00:00+00:00,99218.0792915928,-1.0,-1
2024-01-16 09:00:00+00:00,99387.31268191848,-1.0,-1
2024-01-16 10:00:00+00:00,99432.04801951484,-1.0,-1
2024-01-16 11:00:00+00:00,99331.0744106064,-1.0,-1
2024-01-16 12:00:00+00:00,99386.24643502572,-1.0,-1
2024-01-16 13:00:00+00:00,99496.71313003357,-1.0,-1
2024-01-16 14:00:00+00:00,99511.81029365616,-1.0,-1
2024-01-16 15:00:00+00:00,99390.08106942581,-1.0,-1
2024-01-16 16:00:00+00:00,99434.3625810383,-1.0,-1
2024-01-16 17:00:00+00:00,99598.39592432746,-1.0,-1
2024-01-16 18:00:00+00:00,99534.2160879583,-1.0,-1
2024-01-16 19:00:00+00:00,99500.33615184709,-1.0,-1
2024-01-16 20:00:00+00:00,99520.46726940396,-1.0,-1
2024-01-16 21:00:00+00:00,99487.05439768526,-1.0,-1
2024-01-16 22:00:00+00:00,99467.8434577269,-1.0,-1
2024-01-16 23:00:00+00:00,99456.41278979256,-1.0,-1
2024-01-17 00:00:00+00:00,99461.8982494976,-1.0,-1
2024-01-17 01:00:00+00:00,99466.46997019176,-1.0,-1
2024-01-17 02:00:00+00:00,99490.24510332703,-1.0,-1
